pickup_zip,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
11096,5,736,1.1,13.5599997838338,2.2600000500679
11101,482967,901.051160845358,398.035524249624,21.1065932873109,3.17684758414694
11102,145144,886.268092377225,3.41055641305834,20.0450116654397,3.00331359693319
11103,117554,803.87183762356,74.6130383482769,19.3269587873145,2.90689036558123
11104,155925,1071.18852653519,3.44769915035118,20.7089411352554,3.12605859483953
11105,61460,841.782720468598,3.24833485285142,19.7925752331998,3.08663901747751
11106,201487,892.629489743755,3.67617600065796,17.0896274768221,2.5474673004754
11109,3599,1067.52709085857,4.33366213113827,22.7135810301854,3.40320085825749
11201,649598,1014.30147568188,9.69898346354486,20.2015739312375,3.11142380293021
11203,5258,845.396918980601,2.93560859561958,22.9585380838785,3.74738016200889
11204,2799,729.511254019293,2.55854948048745,25.5888940048919,3.86878823652425
11205,102468,850.256236093219,2.93743900475191,17.0514348932666,2.61905252239856
11206,121080,861.003344895937,2.90824859588861,16.7959671773121,2.6292869985953
11207,7169,1037.92244385549,4.00123587667174,24.8457171544208,3.73877637000893
11208,3091,1131.40795858945,4.63005176258633,29.8396076796686,4.53509104385299
11209,6336,982.496527777778,4.76873106266945,31.1219017723786,5.02854958989741
11210,4572,1197.38932633421,4.34142388584302,26.1378764248509,3.75163979466896
11211,717663,944.385182181609,3.1534082989814,17.7115504155606,2.76072432613096
11212,3244,1049.56226880395,3.52387792881436,27.8032993925044,3.73871119105346
11213,14525,951.554561101549,3.37749810535826,20.4851964104824,3.08546838009439
11214,2429,1094.92260189378,4.37954302669222,37.8502573758731,6.06569988706461
11215,141586,920.329940813357,85.636843226231,19.4990077876029,3.16472381214154
11216,58543,855.788565669679,3.08239652914537,18.0405353806172,2.80158955080734
11217,277266,930.430939963789,14.1742454902125,18.6102787200752,2.88522202373021
11218,19629,1020.16832238015,4.03289928046222,24.8988229997132,3.83582311679789
11219,1949,1018.4905079528,3.75913288615063,29.7662961051297,8.4659670643069
11220,7104,1103.72184684685,4.31906390526837,30.0843523058368,8.11798831261924
11221,43458,893.637120898339,2.91260113154664,17.725971678598,2.81330735726486
11222,149934,875.259947710326,26.7230426221759,18.0232714368642,2.88413581371224
11223,2230,932.361434977578,3.79057398536431,45.5814944662473,6.46150636446996
11224,888,1311.53490990991,6.37334460930622,42.6281394514927,5.97566860536828
11225,25978,938.060243282778,3.39138039924436,20.0146866954065,2.96469912773511
11226,19730,1017.09635073492,3.8449315787183,23.151145218288,3.41390691736105
11228,1198,838.645242070117,4.30323037726242,31.0983029259576,5.90587878315286
11229,2011,1019.05420188961,3.91352063710401,28.1397931224893,4.03945593366661
11230,8626,887.554602364943,3.27404126780397,29.6870601790954,4.10618094514168
11231,167179,1047.98347878621,3.94492603827578,21.6874648451685,3.43120646996749
11232,16438,1041.96246502008,3.94993308278825,22.5297924704726,3.71560189832205
11233,12871,938.52777561961,3.28731877812509,21.0802737988467,3.40158766654071
11234,2796,1207.94527896996,5.68530042511338,35.4947920246346,4.47666666497186
11235,2637,1016.23511566174,4.86949184424624,40.146652008317,5.75304442475412
11236,2532,1069.68483412322,4.95406397920114,31.0831253885707,4.90765367211427
11237,41952,922.842009916095,3.27097659239456,18.1484940149229,2.85102871001503
11238,99172,909.120326301779,36.6232097765646,18.2054281512791,2.89915022375415
11239,712,1503.18960674157,7.99539327311978,42.0111665454176,5.664166665517
11251,3027,943.906508093822,2.91484638293181,17.2315601914599,2.77695674405469
11354,8864,878.945509927798,4.01245712705813,31.8972089321105,4.45972222348715
11355,3673,1067.24720936564,4.63626191522515,33.2533680191694,4.99772726854479
11356,616,914.058441558442,4.76615259386357,32.8266983351639,4.70521531735311
11357,818,1002.76894865526,7.96861861320326,70.826190189821,9.76904761946711
11358,573,907.413612565445,5.10104713099399,33.2927449993059,5.09870588911661
11359,5,1262.6,8.58200016021729,38.360000928243,5.39333312958479
11360,199,1296.61306532663,10.7908039404894,62.3881554076973,11.0344660177972
11361,616,1138.14935064935,5.57655844024032,37.8227557873163,5.92677165645607
11362,235,1503.22553191489,5.95638296997294,53.3399146866595,7.26042727527455
11363,107,724.130841121495,6.40943927450158,48.9706561291804,7.36836064057272
11364,380,891.057894736842,6.35889475121114,55.0189633954589,6.51987807209626
11365,1212,888.995874587459,5.19315181286674,39.7343332575013,5.67804166543841
11366,629,673.337042925278,3.70151033156532,23.3486015930519,3.50783898656146
11367,9349,1518.48122793882,8.14731414925798,54.4249846672872,8.16643822266022
11368,19616,1215.54246533442,5.98059543110702,46.1125505888799,6.82141355643762
11369,37857,1150.47132630689,5.59090023032967,38.394071334554,5.42985422806082
11370,46978,788.879560645408,36.5268131886141,23.8279079616629,3.41204075748125
11371,3514014,1923.52722385284,18.7900041232758,44.6828675394387,7.09896161648437
11372,51889,766.229547688335,2.79719844287792,19.6268774491604,2.70169956541083
11373,60167,867.794821081324,3.32512573435451,24.653326164749,3.3548417375002
11374,18620,1035.84833512352,4.59552739215094,28.8325678804736,4.02821861971928
11375,27089,1005.04614419137,4.5302665291603,28.077436246955,4.10363651081037
11377,158058,860.901491857419,12.6385906758926,21.6286996544497,3.05827566883867
